日付,時間,空き状況
2023-06-13,09:15 - 11:00,-
2023-06-13,14:25 - 16:10,△
2023-06-13,19:10 - 20:55,△
2023-06-14,09:15 - 11:00,◯
2023-06-14,14:25 - 16:10,◯
2023-06-14,19:10 - 20:55,◯
2023-06-15,09:15 - 11:00,△
2023-06-15,14:25 - 16:10,△
2023-06-15,19:10 - 20:55,△
2023-06-16,09:15 - 11:00,△
2023-06-16,14:25 - 16:10,5
2023-06-16,19:10 - 20:55,7
2023-06-17,09:15 - 11:00,△
2023-06-17,14:25 - 16:10,△
2023-06-17,19:10 - 20:55,◯
2023-06-18,09:15 - 11:00,△
2023-06-18,14:25 - 16:10,5
2023-06-18,19:10 - 20:55,キャンセル待ち
2023-06-19,09:15 - 11:00,△
2023-06-19,14:25 - 16:10,8
2023-06-19,19:10 - 20:55,△
2023-06-20,09:15 - 11:00,◯
2023-06-20,14:25 - 16:10,1
2023-06-20,19:10 - 20:55,3
2023-06-21,09:15 - 11:00,◯
2023-06-21,14:25 - 16:10,△
2023-06-21,19:10 - 20:55,◯
2023-06-22,09:15 - 11:00,◯
2023-06-22,14:25 - 16:10,△
2023-06-22,19:10 - 20:55,△
